Ticker,Company,Country,Sector,MappingConfidence,SourceFund,SourceURL,SourceAsOf
6017.SR,JAHEZ INTERNATIONAL,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2284.SR,MODERN MILLS FOR FOOD PRODUCTS,Saudi Arabia,Consumer Staples,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
7204.SR,PERFECT PRESENTATION FOR COMMERCIA,Saudi Arabia,Information Technology,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4161.SR,BINDAWOOD HOLDING,Saudi Arabia,Consumer Staples,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4165.SR,AL MAJED OUD CO,Saudi Arabia,Consumer Staples,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4262.SR,LUMI RENTAL CO,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4261.SR,THEEB RENT A CAR,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4019.SR,SPECIALIZED MEDICAL,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4192.SR,AL-SAIF STORES DEVELOPMENT AND INV,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2084.SR,MIAHONA CO,Saudi Arabia,Utilities,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4292.SR,ATAA EDUCATIONAL CO,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4084.SR,DERAYAH FINANCIAL,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2190.SR,SUSTAINED INFRASTRUCTURE HOLDING C,Saudi Arabia,Industrials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2240.SR,ADVANCED BUILDING INDUSTRIES,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4083.SR,UNITED INTERNATIONAL HOLDING,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2300.SR,SAUDI PAPER MANUFACTURING,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4240.SR,AFG INTERNATIONAL,Saudi Arabia,Consumer Discretionary,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4016.SR,MIDDLE EAST PHARMACEUTICAL INDUSTR,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
