Ticker,Company,Country,Sector,RawTicker,Exchange,ISIN,WeightPct,SourceFund,SourceURL,SourceAsOf,MappingConfidence
7453.T,RYOHIN KEIKAKU LTD,Japan,Consumer Discretionary,7453,Tokyo Stock Exchange,,0.24,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
8136.T,SANRIO LTD,Japan,Consumer Discretionary,8136,Tokyo Stock Exchange,,0.14,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
1928.T,SEKISUI HOUSE LTD,Japan,Consumer Discretionary,1928,Tokyo Stock Exchange,,0.29,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7309.T,SHIMANO INC,Japan,Consumer Discretionary,7309,Tokyo Stock Exchange,,0.16,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
6758.T,SONY GROUP CORP,Japan,Consumer Discretionary,6758,Tokyo Stock Exchange,,2.77,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7270.T,SUBARU CORP,Japan,Consumer Discretionary,7270,Tokyo Stock Exchange,,0.21,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
5802.T,SUMITOMO ELECTRIC INDUSTRIES LTD,Japan,Consumer Discretionary,5802,Tokyo Stock Exchange,,0.88,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7269.T,SUZUKI MOTOR CORP,Japan,Consumer Discretionary,7269,Tokyo Stock Exchange,,0.43,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7203.T,TOYOTA MOTOR CORP,Japan,Consumer Discretionary,7203,Tokyo Stock Exchange,,4.33,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7272.T,YAMAHA MOTOR LTD,Japan,Consumer Discretionary,7272,Tokyo Stock Exchange,,0.14,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7550.T,ZENSHO HOLDINGS LTD,Japan,Consumer Discretionary,7550,Tokyo Stock Exchange,,0.13,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
3092.T,ZOZO INC,Japan,Consumer Discretionary,3092,Tokyo Stock Exchange,,0.07,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
8267.T,AEON LTD,Japan,Consumer Staples,8267,Tokyo Stock Exchange,,0.6,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
2802.T,AJINOMOTO INC,Japan,Consumer Staples,2802,Tokyo Stock Exchange,,0.53,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
2502.T,ASAHI GROUP HOLDINGS LTD,Japan,Consumer Staples,2502,Tokyo Stock Exchange,,0.33,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
2914.T,JAPAN TOBACCO INC,Japan,Consumer Staples,2914,Tokyo Stock Exchange,,0.92,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
4452.T,KAO CORP,Japan,Consumer Staples,4452,Tokyo Stock Exchange,,0.38,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
2801.T,KIKKOMAN CORP,Japan,Consumer Staples,2801,Tokyo Stock Exchange,,0.13,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
2503.T,KIRIN HOLDINGS LTD,Japan,Consumer Staples,2503,Tokyo Stock Exchange,,0.27,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
3088.T,MATSUKIYOKARA,Japan,Consumer Staples,3088,Tokyo Stock Exchange,,0.11,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
3382.T,SEVEN & I HOLDINGS LTD,Japan,Consumer Staples,3382,Tokyo Stock Exchange,,0.58,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
4911.T,SHISEIDO LTD,Japan,Consumer Staples,4911,Tokyo Stock Exchange,,0.16,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
2587.T,SUNTORY BEVERAGE & FOOD LTD,Japan,Consumer Staples,2587,Tokyo Stock Exchange,,0.09,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
